"HTS Number","Indent","Description","Unit of Quantity","General Rate of Duty","Special Rate of Duty","Column 2 Rate of Duty","Quota Quantity","Additional Duties"
"2921.45.10.00","3","7-Amino-1,3-naphthalenedisulfonic acid and its salts; 5-Amino-2-naphthalenesulfonic acid and its salts; 8-Amino-1-naphthalenesulfonic acid and its salts; and<i>N</i>-Phenyl-2-naphthylamine","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 48.5%","",""
"2921.45.20.00","3","3-Amino-2,7-naphthalenedisulfonic acid; 4-Amino-1-naphthalenesulfonic acid, sodium salt; 5-Amino-1-naphthalenesulfonic acid (Laurent's acid); 8-Amino-2-naphthalenesulfonic acid and its salts; 7-Amino-1,3,6-naphthalenetrisulfonic acid; 8-Anilino-1-naphthalenesulfonic acid (Phenyl Peri acid) and its salts; and<i>N</i>-Ethyl-1-naphthylamine","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 39.5%","",""
"2921.45.25.00","3","Mixtures of 5- and 8-amino-2-naphthalene- sulfonic acid; 2-Naphthylamine-6-sulfonic acid; and<i>o</i>-Naphthionic acid (1-amino- 2-naphthalene- sulfonic acid)","[""kg""]","Free","","15.4¢/kg + 60%","",""
"","3","Other:","","","","",,
"2921.45.60.00","4","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.45.90","4","Other","","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.45.90.10","5","2-Amino-1-naphthalenesulfonic acid (Tobias acid)","[""kg""]","","","","",""
"2921.45.90.90","5","Other","[""kg""]","","","","",""
"2921.46.00.00","2","Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (INN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof","[""kg""]","Free","","15.4¢/kg + 149.5%","",""
"2921.49","2","Other:","","","","","",""
"2921.49.10.00","3","4-Amino-2-stilbenesulfonic acid and its salts;<i>p</i>-Ethylaniline; 2,4,6-Trimethylaniline (Mesidine); 2,3-Xylidine; 2,4-Xylidine; 2,5-Xylidine; and 3,4-Xylidine","[""kg""]","5.8% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 48.5%","",""
"2921.49.15.00","3","<i>m</i>-Nitro-<i>p</i>-toluidine","[""kg""]","Free","","15.4¢/kg + 53%","",""
"","3","Other:","","","","",,
"2921.49.32.00","4","Fast color bases","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 53%","",""
"","4","Drugs:","","","","",,
"2921.49.38.00","5","Antidepressants, tranquilizers and other psychotherapeutic agents","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 149.5%","",""
"2921.49.43.00","5","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 71.5%","",""
"","4","Other:","","","","",,
"2921.49.45.00","5","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.49.50.00","5","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"","1","Aromatic polyamines and their derivatives; salts thereof:","","","","",,
"2921.51","2","<i>o</i>-, <i>m</i>-, <i>p</i>-Phenylenediamine, diaminotoluenes, and their derivatives; salts thereof:","","","","","",""
"2921.51.10.00","3","4-Amino-2-(<i>N</i>,<i>N</i>-diethylamino) toluene hydrochloride;<i>m</i>-Phenylenediamine;<i>o</i>-Phenylenediamine; Toluene-2,4-diamine; Toluene-2,5-diamine; and Toluene-2,5-diamine sulfate","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 48.5%","",""
"","3","Other:","","","","",,
"2921.51.20.00","4","Photographic chemicals","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"","4","Other:","","","","",,
"2921.51.30.00","5","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.51.50.00","5","Other","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.59","2","Other:","","","","","",""
"2921.59.04.00","3","1,8-Diaminonaphthalene (1,8-Naphthalenediamine)","[""kg""]","Free","","15.4¢/kg + 39.5%","",""
"2921.59.08.00","3","5-Amino-2-(<i>p</i>-aminoanilino) benzenesulfonic acid; 4,4'-Diamino-3-biphenylsulfonic acid (3-Benzidinesulfonic acid); 3,3'-Dimethylbenzidine (<i>o</i>-Tolidine); 3,3'-Dimethylbenzidine hydrochloride; Ethyl-(2-dimethylaminoethyl) aniline;<i>N</i>-Ethyl-<i>N</i>,<i>N</i>'-dimethyl-<i>N</i>'-phenylethylene- diamine; and 4,4'-Methylenebis(2-chloroaniline)","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 39.5%","",""
"2921.59.17.00","3","4,4'-Benzidine-2,2'-disulfonic acid; 1,4-Diaminobenzene-2-sulfonic acid; 4,4'-Methylene bis ((3-chloro-2,6-diethylaniline); 4,4'-Methylene bis(2,6-diethylaniline); 4,4'-Methylene bis (2,6-diisopropylaniline);<i>m</i>-Xylene diamine; and 3,3'-Diaminobenzidine (tetraaminobiphenyl)","[""kg""]","Free","","15.4¢/kg + 60%","",""
"2921.59.20.00","3","4,4'-Diamino-2,2'-stilbenedisulfonic acid","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 80%","",""
"2921.59.30.00","3","4,4'-Methylenedianiline","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 40%","",""
"","3","Other:","","","","",,
"2921.59.40.00","4","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.59.80","4","Other","","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 60%","",""
"2921.59.80.10","5","3,3'-Dichlorobenzidine dihydrochloride","[""kg""]","","","","",""
"2921.59.80.90","5","Other","[""kg""]","","","","",""
"2922","0","Oxygen-function amino-compounds:","","","","","",""
"","1","Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof:","","","","",,
"2922.11.00.00","2","Monoethanolamine and its salts","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","50.5%","",""
"2922.12.00.01","2","Diethanolamine and its salts","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","50.5%","",""
"2922.14.00.00","2","Dextropropoxyphene (INN) and its salts","[""kg""]","Free","","15.4¢/kg + 119.5%","",""
"2922.15.00.00","2","Triethanolamine","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50.5%","",""
"2922.16.00.00","2","Diethylammonium perfluorooctane sulfonate","[""kg""]","6.5% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,L,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"2922.17.00.00","2","Methyldiethanolamine and ethyldiethanolamine","[""kg""]","6.5% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"2922.18.00.00","2","2-(N,N-Diisopropylamino)ethanol","[""kg""]","6.5% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"2922.19","2","Other:","","","","","",""
"","3","Aromatic:","","","","",,
"2922.19.09.00","4","Drugs","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 45%","",""
"","4","Other:","","","","",,
"2922.19.20.00","5","4,4'-Bis(dimethylamino) benzhydrol (Michler's hydrol);5'-[3'-(Dimethylamino) propyl]-10',11'- dihydro-5<i>H</i>'-dibenzo [<i>a</i>,<i>b</i>] cyclohept- en-5'-ol (Dibenzcarbinol); and1-(<i>p</i>-Nitrophenyl)-2-amino-1,3- propanediol","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 39%","",""
"2922.19.33.00","5","<i>N</i>1-(2-Hydroxyethyl)-2-nitro-1,4- phenylenediamine;<i>N1</i>,<i>N4</i>,<i>N4</i>-Tris(2-hydroxyethyl)-2- nitro-1,4-phenylenediamine;<i>N</i>1,<i>N</i>4-Dimethyl-<i>N</i>1- (2-hydroxyethyl)-3-nitro-1,4-phenylene- diamine;<i>N</i>1,<i>N</i>4-Dimethyl-<i>N</i>1-(2,3-dihydroxy- propyl)-3-nitro-1,4-phenylenediamine; and<i>N</i>1-(2-Hydroxyethyl)-3-nitro-1,4- phenylenediamine","[""kg""]","Free","","15.4¢/kg + 50%","",""
"","5","Other:","","","","",,
"2922.19.60.00","6","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.19.70.00","6","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"","3","Other:","","","","",,
"2922.19.90.00","4","Salts of triethanolamine","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50.5%","",""
"2922.19.96","4","Other","","6.5% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"","5","N,N-(Dialkyl (methyl, ethyl, n-propyl or isopropyl)-2-aminoethanols and their protonated salts:","","","","",,
"2922.19.96.10","6","N,N-Dimethyl-2-aminoethanol, N,N-diethyl-2-aminoethanol and their protonated salts","[""kg""]","","","","",""
"2922.19.96.19","6","Other","[""kg""]","","","","",""
"2922.19.96.90","5","Other","[""kg""]","","","","",""
"","1","Amino-naphthols and other amino-phenols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof:","","","","",,
"2922.21","2","Aminohydroxynaphthalenesulfonic acids and their salts:","","","","","",""
"2922.21.10.00","3","1-Amino-8-hydroxy-3,6-naphthalenedisulfonic acid; 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid (Chicago acid); 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid, potassium salt; 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid, sodium salt; 4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid, monosodium salt (H acid, monosodium salt); 4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid, potassium salt (H acid, monopotassium salt); 4-Amino-3-hydroxy-1-naphthalenesulfonic acid; 6-Amino-1-naphthol-3-sulfonic acid and its salts; and 8-Amino-1-naphthol-5-sulfonic acid and its salts","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 39%","",""
"2922.21.25.00","3","1-Amino-8-hydroxy-4,6-naphthalenedisulfonic acid, monosodium salt","[""kg""]","Free","","15.4¢/kg + 50%","",""
"","3","Other:","","","","",,
"2922.21.40.00","4","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.21.50.00","4","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.29","2","Other:","","","","","",""
"2922.29.03.00","3","<i>o</i>-Anisidine;<i>p</i>-Anisidine; and<i>p</i>-Phenetidine","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 65%","",""
"","3","<i>m</i>-Nitro-<i>p</i>-anisidine; and <i>m</i>-Nitro-<i>o</i>-anisidine:","","","","",,
"2922.29.06.00","4","Fast color bases","[""kg""]","Free","","15.4¢/kg + 54.5%","",""
"2922.29.08.00","4","Other","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.29.10.00","3","2-Amino-6-chloro-4-nitrophenol; 2-Amino-4-chlorophenol;2-Amino-4-chlorophenol hydrochloride; 2-Amino-<i>p</i>-cresol; 4-Amino-<i>o</i>-cresol; 6-Amino-2,4-dichloro-3-methylphenol; 2-(3-Amino-4-hydroxyphenylsulfonyl)ethanol; 2-Amino-4-nitrophenol; 2-Amino-4-nitrophenol, sodium salt; 2-Amino-5-nitrophenol;<i>m</i>-Aminophenol; 2-(4'-Aminophenoxy)ethylsulfate; 5-Chloro-2-(2',4'-dichlorophenoxy)aniline; 3,4-Dimethoxyphenethylamine (Homoveratrylamine); 2-Hydroxy-5-nitrometanilic acid; 4-Methoxymetanilic acid; 6-Methoxymetanilic acid; 4-Methoxy-<i>m</i>-phenylenediamine; 5-Methoxy-<i>m</i>-phenylenediamine sulfate; 6-(Methylamino)-1-naphthol-3-sulfonic acid; 7-(Methylamino)-1-naphthol-3-sulfonic acid; and 2-Methyl-<i>p</i>-anisidine","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 39%","",""
"2922.29.13.00","3","<i>o</i>-Aminophenol; and 2,2-Bis[4-(4-aminophenoxy)phenyl]propane","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.29.15.00","3","<i>m</i>-Diethylaminophenol;<i>m</i>-Dimethylaminophenol; 3-Ethylamino-<i>p</i>-cresol; and 5-Methoxy-<i>m</i>-phenylenediamine","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 51%","",""
"2922.29.20.00","3","4-Chloro-2,5-dimethoxyaniline; and 2,4-Dimethoxyaniline","[""kg""]","Free","","15.4¢/kg + 41.5%","",""
"","3","Other:","","","","",,
"2922.29.26.00","4","Fast color bases","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 54.5%","",""
"2922.29.27.00","4","Drugs","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 71.5%","",""
"2922.29.29.00","4","Photographic chemicals","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"","4","Other:","","","","",,
"2922.29.61.00","5","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.29.81","5","Other","","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.29.81.10","6","<i>p</i>-Nitro-<i>o</i>-anisidine","[""kg""]","","","","",""
"2922.29.81.90","6","Other","[""kg""]","","","","",""
"","1","Amino-aldehydes, amino-ketones and amino-quinones, other than those containing more than one kind of oxygen function; salts thereof:","","","","",,
"2922.31.00.00","2","Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.39","2","Other:","","","","","",""
"","3","Aromatic:","","","","",,
"2922.39.05.00","4","1-Amino-2,4-dibromoanthraquinone; and 2-Amino-5-chlorobenzophenone","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.39.10.00","4","2'-Amino aceto phenone; 3'-Amino aceto phenone; 1-Amino-4-bromo-2-methyl anthra quinone; 1,4-Bis [1-anthra quinonyl amino] anthra- quinone; 1,4-Di mesi dino anthra quinone; 4-Dimethyl amino benzaldehyde; andImino di anthra quinone","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 39%","",""
"2922.39.14.00","4","2-Aminoanthraquinone","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.39.17.00","4","1-Aminoanthraquinone","[""kg""]","Free","","15.4¢/kg + 50%","",""
"","4","Other:","","","","",,
"2922.39.25.00","5","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.39.45.00","5","Other","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.39.50.00","3","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"","1","Amino-acids, other than those containing more than one kind of oxygen function, and their esters; salts thereof:","","","","",,
"2922.41.00","2","Lysine and its esters; salts thereof","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2922.41.00.10","3","Meeting requirements of Food Chemical Codex, Codex Alimentarius or United States Pharmacopeia","[""kg""]","","","","",""
"2922.41.00.90","3","Other","[""kg""]","","","","",""
"2922.42","2","Glutamic acid and its salts:","","","","","",""
"2922.42.10.00","3","Monosodium glutamate","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"2922.42.50.00","3","Other","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2922.43","2","Anthranilic acid and its salts:","","","","","",""
"2922.43.10.00","3","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.43.50.00","3","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.44.00.00","2","Tilidine (INN) and its salts","[""kg""]","Free","","15.4¢/kg + 45%","",""
"2922.49","2","Other:","","","","","",""
"","3","Aromatic:","","","","",,
"2922.49.05.00","4","(R)-<i>α</i>-Aminobenzeneacetic acid; 2-Amino-3-chlorobenzoic acid, methyl ester","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.49.10.00","4","<i>m</i>-Aminobenzoic acid, technical;<i>p</i>-Aminobenzoic acid; 3,5-Diaminobenzoic acid; 2-Ethylamino-5-sulfobenzoic acid; 3-(<i>N</i>-Ethylanilino)propionic acid, methyl ester;<i>β</i>-(<i>β</i>-Methoxyethoxyethyl)-4-aminobenzoate; Methyl anthranilate; and<i>l</i>-Phenylalanine","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 39%","",""
"","4","Other:","","","","",,
"2922.49.26.00","5","Drugs","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 45%","",""
"","5","Other:","","","","",,
"2922.49.30.00","6","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.49.37.00","6","Other","[""kg""]","6.5% ","Free (A+,AU,BH,CL,CO,D, E,IL,JO,K, KR,L,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 50%","",""
"","3","Other:","","","","",,
"","4","Amino acids:","","","","",,
"2922.49.43.00","5","Glycine (Aminoacetic acid)","[""kg""]","4.2% ","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2922.49.49","5","Other amino acids","","4.2% ","Free (A*,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2922.49.49.10","6","Alanine","[""kg""]","","","","",""
"2922.49.49.15","6","<i>l</i>-Aspartic acid","[""kg""]","","","","",""
"2922.49.49.50","6","Other","[""kg""]","","","","",""
"","4","Other:","","","","",,
"2922.49.60.00","5","3-Aminocrotonic acid, methyl ester; and (R)-<i>α</i>-Amino-1,4-cyclohexadiene-1- acetic acid","[""kg""]","Free","","25%","",""
"2922.49.80.00","5","Other","[""kg""]","3.7% ","Free (A*,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2922.50","1","Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function:","","","","","",""
"","2","Aromatic:","","","","",,
"2922.50.07.00","3","3,4-Diaminophenetole dihydrogen sulfate; 2-Nitro-5-[(2,3-dihydroxy) propoxy]-<i>N</i>- methyl aniline; 2-Nitro-5-(2-hydroxy ethoxy)-<i>N</i>-methyl aniline;4-(2-Hydroethoxy)-1,3-phenylene diamine dihydro chloride; 3-Methoxy-4-[(2-hydroxy ethyl) amino] nitro- benzene; 4-[(2-Hydroxy ethyl) amino]-3-nitro phenol; and (R)-<i>α</i>-Amino-4-hydroxy benzene acetic acid (<i>d</i>(-)-<i>p</i>-Hydroxy phenyl glycine)","[""kg""]","Free","","15.4¢/kg + 50%","",""
"2922.50.10.00","3","<i>dl</i>-3-(3,4-Di hydroxy phenyl) alanine;<i>N</i>-Ethyl-<i>N</i>-(2-methoxy carbonyl ethyl) aniline;<i>dl</i>-Phenyl ephrine base; and Carbonic acid, methyl ester, diester with 2,2'-(<i>m</i>-tolyl amino) diethanol (Toluidine carbonate)","[""kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 39%","",""
"2922.50.11.00","3","Salts of <i>d</i>(-)-<i>p</i>-Hydroxyphenylglycine ((R)- <i>α</i>-Amino-4-hydroxybenzeneacetic acid)","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"","3","Other:","","","","",,
"","4","Drugs","","","","",,
"2922.50.13.00","5","Isoetharine hydrochloride; Isoxsuprine hydrochloride; Nylidrin hydrochloride; Phenylephrine hydrochloride; Salbutamol (Albuterol); and Terbutaline sulfate","[""kg""]","Free","","15.4¢/kg + 47%","",""
"","5","Other:","","","","",,
"2922.50.14.00","6","Cardiovascular drugs","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 65%","",""
"2922.50.17.00","6","Dermatological agents and local anesthetics","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 51.5%","",""
"2922.50.19.00","6","Guaiacol derivatives","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 79%","",""
"2922.50.25.00","6","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 82%","",""
"","4","Other:","","","","",,
"2922.50.35.00","5","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.50.40.00","5","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 50%","",""
"2922.50.50.00","2","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","30.5%","",""
"2923","0","Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined:","","","","","",""
"2923.10.00.00","1","Choline and its salts","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2923.20","1","Lecithins and other phosphoaminolipids:","","","","","",""
"2923.20.10.00","2","Purified egg phospholipids, pharmaceutical grade meeting requirements of the U.S. Food and Drug Administration, for use in intravenous fat emulsion","[""kg""]","Free","","16.5¢/kg + 30%","",""
"2923.20.20.00","2","Other","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","33.4%","",""
"2923.30.00.00","1","Tetraethylammonium perfluorooctane sulfonate","[""kg""]","6.2% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 36%","",""
"2923.40.00.00","1","Didecylmethylammonium perfluorooctane sulfonate","[""kg""]","6.2% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 36%","",""
"2923.90.01.00","1","Other","[""kg""]","6.2% ","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 36%","",""
"2924","0","Carboxyamide-function compounds; amide-function compounds of carbonic acid:","","","","","",""
"","1","Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof:","","","","",,
"2924.11.00.00","2","Meprobamate (INN)","[""kg""]","Free","","25%","",""
